universityName,cityName,countryName
Sahlgrenska Universitetssjukhuset,Gothenburg,Sweden
The Second Hospital of Jilin University,Changchun,China
Shanxi Medical University,Taiyuan,China
Wolaita Sodo University,Sodo,Ethiopia
"Hematology, Oncology and Stem Cell Transplantation Research Center",Tehran,Iran
The Institute for Physical Activity and Nutrition,Melbourne,Australia
Ain Shams University Hospitals,Cairo,Egypt
University of KwaZulu-Natal,Durban,South Africa
Politechnika Swietokrzyska w Kielcach,Kielce,Poland
Xinhua Hospital Affiliated to Shanghai Jiao Tong University School of Medicine,Shanghai,China
University of Toronto Faculty of Medicine,Toronto,Canada
Toyonaka Municipal Hospital,Toyonaka,Japan
Stanford University School of Medicine,Stanford,United States
Accident Compensation Corporation,Wellington,New Zealand
College of Engineering and Applied Sciences,Stony Brook,United States
School of Medicine,Birjand,Iran
Jinzhou Medical University,Jinzhou,China
Shenzhen People's Hospital,Shenzhen,China
"Faculty of Biology, Medicine and Health",Manchester,United Kingdom
"Beijing Tiantan Hospital, Capital Medical University",Beijing,China
Prince of Wales Hospital Hong Kong,Hong Kong,Hong Kong
Faculty of Medicine,Asyut,Egypt
Naresuan University,Pitsanulok,Thailand
Shandong University,Jinan,China
Holy Spirit University of Kaslik (USEK),Jounieh,Lebanon
First Affiliated Hospital of Zhengzhou University,Zhengzhou,China
Royal College of Surgeons in Ireland,Dublin,Ireland
"Isfahan Cardiovascular Research Center, Isfahan UMS",Isfahan,Iran
Stanford University,Stanford,United States
Yichun Maternal and Child Health Hospital,Yichun,China
Shandong University,Jinan,China
University of Ferrara,Ferrara,Italy
"Faculty of Medicine, Nursing and Health Sciences",Clayton,Australia
Mashhad University of Medical Sciences,Mashhad,Iran
Kongju National University,Gongju,South Korea
Heinrich-Heine-Universität Düsseldorf,Dusseldorf,Germany
Guangdong Academy of Agricultural Sciences,Guangzhou,China
Yale-New Haven Hospital,New Haven,United States
"Universitas Indonesia, RSUPN Dr. Cipto Mangunkusumo",Central Jakarta,Indonesia
Rady Faculty of Health Sciences,Winnipeg,Canada
University of Bradford,Bradford,United Kingdom
Wroclaw Medical University,Wroclaw,Poland
St. Luke’s International University,Tokyo,Japan
Affiliated Hospital of Southwest Medical University,Luzhou,China
Walailak University,Tha Sala,Thailand
University of Minnesota Medical School,Minneapolis,United States
"Shanghai Ninth People's Hospital, Shanghai JiaoTong University School of Medicine",Shanghai,China
Guangzhou University of Chinese Medicine,Guangzhou,China
Technische Universität München,Munich,Germany
Faculty of Dentistry,El Shorouk,Egypt
Asahikawa Medical University,Asahikawa,Japan
Ziauddin Medical University,Karachi,Pakistan
Western University,London,Canada
Max Planck Institute of Animal Behavior,Radolfzell,Germany
Institute of Physiology of the Academy of Sciences of the Czech Republic,Prague,Czech Republic
Kafkas Üniversitesi,Kars,Turkey
Peking Union Medical College Hospital,Beijing,China
Veterans General Hospital-Taichung Taiwan,Taichung,Taiwan
University of Science and Technology of China,Hefei,China
Walailak University,Tha Sala,Thailand
Helsingin Yliopisto,Helsinki,Finland
Zhejiang Provincial People's Hospital,Hangzhou,China
University of Sharjah,Sharjah,United Arab Emirates
Centro de Investigación Biomédica en Red de Diabetes y Enfermedades Metabólicas Asociadas,Madrid,Spain
Universitätsklinikum Hamburg-Eppendorf,Hamburg,Germany
Uniwersytet Medyczny w Bialymstoku,Bialystok,Poland
School of Medicine,Taichung,Taiwan
Naval Medical Center San Diego,San Diego,United States
Shanxi Medical University,Taiyuan,China
NYU Langone Health,New York,United States
University of Texas Health Science Center at San Antonio,San Antonio,United States
International University of Health and Welfare,Otawara,Japan
Pratt School of Engineering,Durham,United States
Universität Augsburg,Augsburg,Germany
Università degli studi Magna Graecia di Catanzaro,Catanzaro,Italy
Teikyo University Chiba Medical Center,Ichihara,Japan
Metropolitan General,Athens,Greece
Institut d'Investigació Biomedica de Bellvitge,Hospitalet de Llobregat,Spain
Oslo Universitetssykehus,Oslo,Norway
Shiraz University,Shiraz,Iran
Menoufia University Faculty of Medicine,Shibin El Kom,Egypt
Medizinische Universitat Innsbruck,Innsbruck,Austria
Université de Strasbourg,Strasbourg,France
L'Hôpital d'Ottawa,Ottawa,Canada
Queen's University Belfast,Belfast,United Kingdom
Case Western Reserve University,Cleveland,United States
Shijonawate Gakuen University,Daito,Japan
University Medical Center New Orleans,New Orleans,United States
Arba Minch University,Arba Minch,Ethiopia
Zhongda Hospital Southeast University,Nanjing,China
VMMC &amp; Safdarjang Hospital,New Delhi,India
Medical School of Nanjing University,Nanjing,China
"Islamic Azad University, Shahrekord Branch",Shahr-e Kord,Iran
Universitatea de Medicina si Farmacie Iuliu Hatieganu din Cluj-Napoca,Cluj Napoca,Romania
Charité – Universitätsmedizin Berlin,Berlin,Germany
Alliance for Improving Health Outcomes,Quezon City,Philippines
UNSW Sydney,Sydney,Australia
Fujian Medical University,Fuzhou,China
University of Oxford,Oxford,United Kingdom
Cleveland Clinic Foundation,Cleveland,United States
China Academy of Chinese Medical Sciences,Beijing,China
Peking University,Beijing,China
Cumming School of Medicine,Calgary,Canada
Kementerian Kesihatan Malaysia,Putrajaya,Malaysia
Faculty of Nursing and Midwifery,Tabriz,Iran
Karolinska Institutet,Stockholm,Sweden
Peking University International Hospital,Beijing,China
"University of Agriculture, Faisalabad",Faisalabad,Pakistan
Universidade Federal do Pará,Belem,Brazil
Jianghan University,Wuhan,China
"Faculty of Medicine, Chiang Mai University",Chaing Mai,Thailand
University of Primorska,Koper,Slovenia
Simon Fraser University,Burnaby,Canada
Ariel University,Ariel,Israel
Taibah University,Madinah,Saudi Arabia
Central South University,Changsha,China
Shandong University,Jinan,China
Haramaya University,Dire Dawa,Ethiopia
Université Nazi Boni,Bobo-Dioulasso,Burkina Faso
Henan Provincial People's Hospital,Zhengzhou,China
Fujian Medical University,Fuzhou,China
"Beijing Children's Hospital, Capital Medical University",Beijing,China
Fundacao Oswaldo Cruz,Rio de Janeiro,Brazil
Universidad de Concepcion,Concepcion,Chile
Universiteit van Amsterdam,Amsterdam,Netherlands
Lok Nayak Hospital,New Delhi,India
Jiangsu University,Zhenjiang,China
Korea National Sport University,Seoul,South Korea
Waseda University,Tokyo,Japan
"Instituto de Pesquisas Energeticas e Nucleares, Sao Paulo",Sao Paulo,Brazil
Dalian University,Dalian,China
National Research Foundation,Pretoria,South Africa
Universität Regensburg,Regensburg,Germany
Charles University,Prague,Czech Republic
Chengdu Medical College,Chengdu,China
Osaka Breast Clinic,Osaka,Japan
Ningbo College of Health Sciences,Ningbo,China
Changchun University of Chinese Medicine,Changchun,China
Menoufia University Faculty of Medicine,Shibin El Kom,Egypt
The First Hospital of Xian Jiaotong University,Xi'an,China
Tianjin Medical University Cancer Institute &amp; Hospital,Tianjin,China
Prince Sultan Military College of Health Sciences,Dhahran City,Saudi Arabia
Lewis Katz School of Medicine,Philadelphia,United States
King Fahad Medical City,Riyadh,Saudi Arabia
Hormozgan University of Medical Sciences,Bandar Abbas,Iran
"Institutionen för Kliniska Vetenskaper, Malmö",Malmo,Sweden
Geisel School of Medicine at Dartmouth,Hanover,United States
The First Affiliated Hospital of Guangxi Medical University,Nanning,China
University of Exeter Medical School,Exeter,United Kingdom
Central South University,Changsha,China
Shaanxi Provincial People’s Hospital,Xi'an,China
Deutsches Zentrum für Herz-Kreislauf-Forschung e. V.,Berlin,Germany
Bahria University,Islamabad,Pakistan
King Abdul Aziz Specialist Hospital,Taif,Saudi Arabia
Chengdu University,Chengdu,China
Tongji Medical College of Huazhong University of Science and Technology,Wuhan,China
Universidade Brasil,Sao Paulo,Brazil
Chettinad Academy of Research and Education,Kelambakkam,India
Boston University Chobanian &amp; Avedisian School of Medicine,Boston,United States
University of Central Punjab,Lahore,Pakistan
University of Illinois Urbana-Champaign,Urbana,United States
Southeast University,Nanjing,China
University of Minnesota Medical School,Minneapolis,United States
Centre de Recherche Entomologique de Cotonou,Cotonou,Benin
Universitätsspital Basel,Basel,Switzerland
Murdoch University,Perth,Australia
Tsinghua University,Beijing,China
Zhejiang University School of Medicine,Hangzhou,China
Wide Bay Hospital and Health Service,Bundaberg,Australia
National Hospital Organization Osaka Toneyama Medical Center,Toyonaka,Japan
Dayananda Sagar College of Engineering,Bengaluru,India
University of Niš,Nis,Serbia
Kanazawa University,Kanazawa,Japan
"Instituto Federal de Educação, Ciência e Tecnologia do Rio de Janeiro",Rio de Janeiro,Brazil
Graduate School of Agricultural and Life Sciences The University of Tokyo,Tokyo,Japan
Peking University Third Hospital,Beijing,China
Universidade Católica de Angola,Luanda,Angola
The First Affiliated Hospital of Guangxi Medical University,Nanning,China
Zhangjiakou First Hospital,Zhangjiakou,China
"Università degli Studi di Roma ""Tor Vergata""",Rome,Italy
Guangxi Medical University,Nanning,China
Putian University,Putian,China
The First Affiliated Hospital of Guangxi Medical University,Nanning,China
West China School of Medicine/West China Hospital of Sichuan University,Chengdu,China
Fundación Cardioinfantil - Instituto de Cardiología,Bogota,Colombia
Second Affiliated Hospital of Suzhou University,Suzhou,China
Western General Hospital,Edinburgh,United Kingdom
Stanford University,Stanford,United States
Hormozgan University of Medical Sciences,Bandar Abbas,Iran
Southern Medical University,Guangzhou,China
Fudan University,Shanghai,China
Kunming University of Science and Technology,Kunming,China
Wenzhou Medical University,Wenzhou,China
Högskolan i Borås,Boras,Sweden
The University of Sheffield,Sheffield,United Kingdom
Wolaita Sodo University,Sodo,Ethiopia
The University of Sydney School of Medicine,Sydney,Australia
Universität Regensburg,Regensburg,Germany
London School of Hygiene &amp; Tropical Medicine,London,United Kingdom
Chinese Academy of Medical Sciences &amp; Peking Union Medical College,Beijing,China
The Catholic University of Korea Yeouido St. Mary's Hospital,Seoul,South Korea
Ningbo University,Ningbo,China
Università degli Studi di Modena e Reggio Emilia,Modena,Italy
Central South University,Changsha,China
Technische Universität Dresden,Dresden,Germany
University of Oxford Medical Sciences Division,Oxford,United Kingdom
Sichuan University,Chengdu,China
Fujian Medical University,Fuzhou,China
School of Nutritional Sciences and Dietetics,Tehran,Iran
Charité – Universitätsmedizin Berlin,Berlin,Germany
School of Medicine,Xiamen,China
Centre de Recherche en Épidémiologie et Santé des Populations,Villejuif,France
Shahid Beheshti University of Medical Sciences,Tehran,Iran
Shandong University of Traditional Chinese Medicine,Jinan,China
Lääketieteellinen Tiedekunta,Helsinki,Finland
Sun Yat-Sen University,Guangzhou,China
Faculty of Nursing,Kafr el-Sheikh,Egypt
University of Calabar,Calabar,Nigeria
Faculty of Pharmacy,Tabriz,Iran
Naval Medical University,Shanghai,China
General Hospital of People's Liberation Army,Beijing,China
Mayo Clinic,Rochester,United States
"Deakin University, School of Life and Environmental Sciences",Melbourne,Australia
Jinan University,Guangzhou,China
School of Dentistry,Mashhad,Iran
LAL4Bsynbiotics L.L.C,Los Angeles,United States
University of Limerick School of Medicine,Limerick,Ireland
The University of Tokyo,Tokyo,Japan
"Hamad Bin Khalifa University, College of Health and Life Sciences",Doha,Qatar
Technical University of Denmark,Lyngby,Denmark
Central South University,Changsha,China
Faculty of Medicine,Tanta,Egypt
Anhui Medical University,Hefei,China
Gramalaya NGO,Tiruchirappalli,India
Kunming Medical University,Kunming,China
Chongqing Medical University,Chongqing,China
Naval Medical University,Shanghai,China
Menoufia University Faculty of Medicine,Shibin El Kom,Egypt
Yunnan University of Chinese Medicine,Kunming,China
Faculty of Pharmacy,Mansoura,Egypt
Kharazmi University,Tehran,Iran
OSINSTITUT Ortho &amp; Sport,Munich,Germany
Renji Hospital,Shanghai,China
Air Force Medical University,Xi'an,China
Uppsala Universitet,Uppsala,Sweden
"Al-Ameen Engineering College, Erode",Erode,India
Ningbo University,Ningbo,China
El-Sahel Teaching Hospital,Cairo,Egypt
Lanzhou University,Lanzhou,China
Saint Marianna University School of Medicine Yokohama City Seibu Hospital,Yokohama,Japan
Faculté des Sciences de Sfax,Sfax,Tunisia
Islamic Azad University,Tehran,Iran
Siriraj Hospital,Bangkok,Thailand
Gansu Agricultural University,Lanzhou,China
Ahmadu Bello University,Zaria,Nigeria
University of Johannesburg,Johannesburg,South Africa
Makerere University,Kampala,Uganda
Kunming University of Science and Technology,Kunming,China
Shanxi Medical University,Taiyuan,China
Tufts University,Medford,United States
Arba Minch University,Arba Minch,Ethiopia
Nanjing University,Nanjing,China
Peking University Third Hospital,Beijing,China
Tarbiat Modares University,Tehran,Iran
St. Paul‘s Hospital Millennium Medical College,Addis Ababa,Ethiopia
The Royal Institute of Technology (KTH),Stockholm,Sweden
Faculty of Veterinary Medicine,Qena,Egypt
IRCCS Ospedale San Raffaele,Milan,Italy
Guangzhou University of Chinese Medicine,Guangzhou,China
"Samsung Medical Center, Sungkyunkwan university",Seoul,South Korea
Wollo University,Dessie,Ethiopia
Chang Gung University College of Medicine,Taoyuan,Taiwan
Tongji University School of Medicine,Shanghai,China
Regional Emergency Medical Services,'s-Hertogenbosch,Netherlands
Universitätsklinikum Freiburg,Freiburg im Breisgau,Germany
Centro Hospitalar Universitário de Santo António,Porto,Portugal
Hubei University of Chinese Medicine,Wuhan,China
Debre Tabor University,Debre Tabor,Ethiopia
Mazandaran University of Medical Sciences,Sari,Iran
The City University of New York,New York,United States
Mazandaran University of Medical Sciences,Sari,Iran
Université Paris Cité,Paris,France
Jiangsu Province Hospital,Nanjing,China
Northwestern Polytechnical University,Xi'an,China
University of Oxford Medical Sciences Division,Oxford,United Kingdom
Faculty of Medicine,Beni Suef,Egypt
West China School of Medicine/West China Hospital of Sichuan University,Chengdu,China
Harbin Medical University,Harbin,China
Høgskolen i Innlandet,Elverum,Norway
University of Birmingham,Birmingham,United Kingdom
Southwest University,Chongqing,China
Xinxiang Medical University,Xinxiang,China
Azienda Ospedaliero - Universitaria di Modena,Modena,Italy
"Faculty of Science, Medicine and Health",Wollongong,Australia
Medizinische Fakultät Carl Gustav Carus,Dresden,Germany
Qingdao University,Qingdao,China
Fudan University,Shanghai,China
Henan Agricultural University,Zhengzhou,China
Faculty of Science,Giza,Egypt
School of Health Management and Information Sciences,Tehran,Iran
Naval Medical University,Shanghai,China
University of Global Health Equity,Kigali,Rwanda
"Dong-A University, College of Medicine",Busan,South Korea
University of Abomey-Calavi,Cotonou,Benin
Shenzhen Institute of Artificial Intelligence and Robotics for Society,Shenzhen,China
Faculty of Medicine,Fayoum,Egypt
West China School of Medicine/West China Hospital of Sichuan University,Chengdu,China
Peking University First Hospital,Beijing,China
Charing Cross Hospital,London,United Kingdom
Shanxi Medical University,Taiyuan,China
Wolaita Sodo University,Sodo,Ethiopia
Western University,London,Canada
Kermanshah University of Medical Sciences,Kermanshah,Iran
The Aga Khan University,Karachi,Pakistan
Anjos of Assis Veterinary Medicine Centre (CMVAA),Barreiro,Portugal
Isfahan University of Medical Sciences,Isfahan,Iran
"Faculty of Medicine Ramathibodi Hospital, Mahidol University",Bangkok,Thailand
"Department of Medicine, The University of Chicago",Chicago,United States
Linköpings Universitet,Linkoping,Sweden
Universität Salzburg,Salzburg,Austria
Wuhan University of Science and Technology,Wuhan,China
Københavns Universitet,Copenhagen,Denmark
UniversitatsSpital Zurich,Zurich,Switzerland
Federal Ministry of Health - Ethiopia,Addis Ababa,Ethiopia
"Faculty of Medicine, Nursing and Health Sciences",Clayton,Australia
National Research Centre,Giza,Egypt
Khon Kaen University,Khon Kaen,Thailand
Hamamatsu University School of Medicine,Hamamatsu,Japan
Qatar University,Doha,Qatar
Medizinische Universität Wien,Vienna,Austria
Universidad Complutense de Madrid,Madrid,Spain
Høgskolen i Innlandet,Elverum,Norway
UiT Norges Arktiske Universitet,Tromso,Norway
Radboud Universiteit,Nijmegen,Netherlands
Atrium Health Musculoskeletal Institute,Charlotte,United States
Faculty of Engineering,Minya,Egypt
Faculté de Médecine de Tunis,Tunis,Tunisia
Eijkman Institute for Molecular Biology,Jakarta,Indonesia
UT Southwestern Medical Center,Dallas,United States
Graduate School of Medicine,Tokyo,Japan
Tabriz University of Medical Sciences,Tabriz,Iran
"The First Affiliated Hospital, Zhejiang University School of Medicine",Hangzhou,China
Qufu Normal University,Qufu,China
Taiyuan University of Technology,Taiyuan,China
Nanjing Medical University,Nanjing,China
CARIM School for Cardiovascular Disease,Maastricht,Netherlands
Shandong First Medical University &amp; Shandong Academy of Medical Sciences,Jinan,China
German Cancer Research Center,Heidelberg,Germany
Osaki Citizen Hospital,Osaki,Japan
Ahmadu Bello University,Zaria,Nigeria
International Primary Care Respiratory Group,London,United Kingdom
University of Science and Technology of China,Hefei,China
NIHR Surgical Reconstruction and Microbiology Research Centre,Birmingham,United Kingdom
Guiyang Medical College,Guiyang,China
Shahid Beheshti School of Nursing and Midwifery (GUMS),Rasht,Iran
Loghman Hakim Educational Hospital,Tehran,Iran
The First Affiliated Hospital of Soochow University,Suzhou,China
"Institutionen för Kliniska Vetenskaper, Lund",Lund,Sweden
Hubei University of Arts and Science,Xiangyang,China
"Institutionen för Kliniska Vetenskaper, Lund",Lund,Sweden
"School of Health, Kermanshah University of Medical Sciences",Kermanshah,Iran
Shenzhen Institute of Advanced Technology,Shenzhen,China
"Beijing Obstertrics and Gynecology Hospital, Capital Medical University",Beijing,China
Chiang Mai University,Chaing Mai,Thailand
National Research Centre,Giza,Egypt
Helen Keller International,New York,United States
The Aga Khan University,Karachi,Pakistan
Aichi Medical University,Nagakute,Japan
Anhui Medical University,Hefei,China
Fudan University,Shanghai,China
University of Gondar,Gondar,Ethiopia
Ltd.,Beijing,China
China Medical University Shenyang,Shenyang,China
Universidad Pontificia Comillas,Madrid,Spain
Universität Potsdam,Potsdam,Germany
Shanghai University of Traditional Chinese Medicine,Shanghai,China
West China School of Medicine/West China Hospital of Sichuan University,Chengdu,China
"College of Computer, Mathematical, &amp; Natural Sciences",College Park,United States
"Friends Research Institute, Inc.",Baltimore,United States
IUMS Minimally Invasive Surgery Research Center,Tehran,Iran
Lorestan University of Medical Sciences,Khorramabad,Iran
Anhui Medical University,Hefei,China
"The Queen Elizabeth Hospital, North Western Adelaide Health Service",Woodville South,Australia
Hospital Central de Maputo,Maputo,Mozambique
Isfahan University of Medical Sciences,Isfahan,Iran
Faculty of Dentistry,Alexandria,Egypt
Oregon State University,Corvallis,United States
Xinjiang Technical Institute of Physics and Chemistry,Urumqi,China
Sichuan University,Chengdu,China
Teikyo University School of Medicine,Tokyo,Japan
Daneshgahe Shahid Bahonar-e-Kerman,Kerman,Iran
Fujian Medical University,Fuzhou,China
Sun Yat-Sen University Cancer Center,Guangzhou,China
Universiti Malaysia Sarawak,Kota Samarahan,Malaysia
The University of Texas MD Anderson Cancer Center,Houston,United States
Dr. Tewelde Legesse College of Health Sciences,"Mekelle, Tigray",Ethiopia
ESUT College of Medicine,Enugu,Nigeria
Shandong First Medical University &amp; Shandong Academy of Medical Sciences,Jinan,China
Debre Markos University,Debra Marcos,Ethiopia
Raiganj University,Raiganj,India
Emory University School of Medicine,Atlanta,United States
Athabasca University,Athabasca,Canada
College of Applied Medical Sciences,Riyadh,Saudi Arabia
Harbin Medical University,Harbin,China
"Shanghai Ninth People's Hospital, Shanghai JiaoTong University School of Medicine",Shanghai,China
Innovative Bioresearch Ltd,London,United Kingdom
Umeå Universitet,Umea,Sweden
Anhui Medical University,Hefei,China
Xi'an Medical University,Xi'an,China
Severance Hospital,Seoul,South Korea
The University of North Carolina at Chapel Hill,Chapel Hill,United States
Graduate School of Medicine,Sapporo,Japan
Shaanxi Normal University,Xi'an,China
National Hospital Organization Saitama National Hospital,Wako,Japan
Xi'an Children's Hospital,Xi'an,China
Shanghai University of Traditional Chinese Medicine,Shanghai,China
Asia University,Taichung,Taiwan
Université de Sousse,Sousse,Tunisia
First Affiliated Hospital of Medical University of Anhui,Anhui,China
Tianjin Medical University,Tianjin,China
Universidad del Desarrollo,Concepcion,Chile
Centre de Recherche Entomologique de Cotonou,Cotonou,Benin
Ludwig-Maximilians-Universität München,Munich,Germany
Institut Catala de la Salut,Barcelona,Spain
Tianjin University Hospital,Tianjin,China
The Aga Khan University,Karachi,Pakistan
Queen Charlotte's and Chelsea Hospital,London,United Kingdom
Philipps-Universität Marburg,Marburg,Germany
Hangzhou Normal University,Hangzhou,China
Gansu Agricultural University,Lanzhou,China
School of Medicine,Tehran,Iran
Second Affiliated Hospital of Harbin Medical University,Harbin,China
"Cancer Institute &amp; Hospital, Chinese Academy of Medical Sciences &amp; Peking Union Medical College",Beijing,China
Qingdao University,Qingdao,China
Peking University People's Hospital,Beijing,China
Federal Medical Centre Nigeria,,Nigeria
École Polytechnique Fédérale de Lausanne,Lausanne,Switzerland
University of Jinan,Jinan,China
Wenzhou Medical University,Wenzhou,China
Tribhuvan University,Kathmandu,Nepal
University of Galway,Galway,Ireland
Kangbuk Samsung Hospital,Jongno-gu,South Korea
Neyshabur University of Medical Sciences,Neyshabur,Iran
College of Social Sciences,Glasgow,United Kingdom
Mae Fah Luang University,Chiang Rai,Thailand
Stiftelsen Norsk Luftambulanse,Oslo,Norway
Northwest Permanente,Portland,United States
Taizhou Hospital,Linhai,China
Southern Medical University,Guangzhou,China
SRM Institute of Science and Technology,Kattankulathur,India
School of Basic Medical Science Central South University,Changsha,China
Mbarara University of Science and Technology,Mbarara,Uganda
Institut du Savoir Montfort,Ottawa,Canada
School of Dentistry,Tehran,Iran
Korle Bu Teaching Hospital,Accra,Ghana
Sjællands Universitetshospital,Roskilde,Denmark
College of Dentistry,Riyadh,Saudi Arabia
Southern Tohoku General Hospital,Koriyama,Japan
Yamagata University Hospital,Yamagata,Japan
School of Public Health,Hamadan,Iran
Hirosaki University,Hirosaki,Japan
Université Libanaise,Beirut,Lebanon
Kamuzu University of Health Sciences,Blantyre,Malawi
Hormozgan University of Medical Sciences,Bandar Abbas,Iran
Hebei Children's Hospital,Shijiazhuang,China
Kenya Medical Research Institute,Nairobi,Kenya
Icahn School of Medicine at Mount Sinai,New York,United States
Tongji Medical College of Huazhong University of Science and Technology,Wuhan,China
Sunway University,Bandar Sunway,Malaysia
Changchun University of Chinese Medicine,Changchun,China
Shahid Beheshti University of Medical Sciences,Tehran,Iran
Aravind Eye Hospital,Madurai,India
University of Münster,Munster,Germany
University College Dublin,Dublin,Ireland
Wenzhou Medical University,Wenzhou,China
Bahria University,Islamabad,Pakistan
Institutionen för Biomedicin,Gothenburg,Sweden
UESTC Hospital,Chengdu,China
University of Gondar,Gondar,Ethiopia
City of Hope National Med Center,Duarte,United States
Faculty of Dentistry,Beni Suef,Egypt
Massachusetts General Hospital,Boston,United States
The Aga Khan University Hospital,Karachi,Pakistan
University College of Osteopathy,London,United Kingdom
Universidad Central de Caribe,"Bayamón, Puerto Rico",United States
Kilimanjaro Clinical Research Institute,Moshi,Tanzania
Karolinska Institutet,Stockholm,Sweden
University of Gondar,Gondar,Ethiopia
Chang Gung University,Taoyuan,Taiwan
The First Affiliated Hospital of Guangxi Medical University,Nanning,China
School of Pharmacy,Shiraz,Iran
Dow University of Health Sciences Pakistan,Karachi,Pakistan
Faculty of Pharmacy,Cairo,Egypt
Children's Hospital of Soochow University,Suzhou,China
